"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"        25 to 29 years","94,039","16,556","129,634","62,391","546,712","158,487","67,732","16,415","19,907","334,578","172,749","13,117","47,285","249,601","161,047","80,606","67,748","113,446","79,083","34,196","91,176","160,319","233,575","134,636","46,152","148,066","28,180","47,424","49,742","36,315","148,391","32,464","374,140","197,978","23,558","276,122","77,068","101,270","290,245","23,467","92,057","21,342","157,552","483,384","94,811","16,477","166,727","174,429","46,016","140,040","14,686","15,015"
"        30 to 34 years","93,974","17,781","131,373","63,773","580,281","164,389","69,328","16,967","20,260","348,989","174,899","12,727","46,005","257,951","160,832","81,859","70,409","112,494","85,184","37,180","99,247","157,664","233,426","144,880","47,000","151,843","29,871","49,756","53,567","37,951","152,398","33,607","380,065","198,772","23,909","280,296","80,406","110,133","302,537","24,284","94,261","22,237","155,758","496,929","88,057","17,637","168,693","186,400","45,836","147,088","16,209","14,314"
"        35 to 39 years","93,984","17,780","128,452","64,413","556,737","152,611","66,133","16,574","15,118","340,407","168,516","13,109","48,032","254,742","161,111","84,780","72,625","113,146","88,764","36,228","94,824","142,243","223,964","149,784","49,046","151,476","30,170","51,233","53,893","35,703","145,641","32,796","345,636","191,083","23,032","275,402","83,271","109,740","291,123","22,914","93,214","23,761","152,049","488,726","90,946","17,255","165,416","182,286","47,357","149,069","16,824","14,487"
"        40 to 44 years","92,252","14,750","118,361","62,184","489,709","132,990","62,562","15,027","9,500","318,811","163,331","11,390","46,085","237,045","155,438","78,689","65,426","113,158","81,069","34,227","83,498","129,715","210,845","135,571","48,378","139,047","27,520","45,675","49,466","32,453","140,416","28,937","309,465","185,504","19,507","261,820","75,739","101,315","269,575","20,479","90,132","21,221","147,090","443,336","87,338","16,037","151,922","161,360","49,392","139,448","15,174","15,595"
"        45 to 49 years","100,600","14,087","121,640","64,040","479,948","128,756","68,758","15,977","7,182","348,003","179,504","10,511","42,546","236,925","160,167","75,056","61,803","116,834","78,637","36,492","85,719","140,269","220,718","127,881","50,738","136,903","25,470","43,227","50,620","36,350","150,669","27,526","314,743","205,716","17,660","272,832","74,281","96,258","285,595","22,165","98,238","19,289","157,200","441,539","70,622","16,821","159,536","154,915","51,822","137,910","14,017","16,728"
"        50 to 54 years","105,341","14,688","128,619","65,520","527,725","126,036","85,351","18,750","6,502","393,010","189,761","11,207","41,731","257,924","165,712","80,814","63,867","119,848","83,739","41,179","100,932","167,105","247,184","141,236","53,015","144,170","26,283","43,580","55,277","43,207","178,430","29,792","365,591","218,305","18,095","294,298","75,711","96,001","323,917","26,582","103,677","20,320","163,091","442,960","61,709","19,013","172,777","164,529","52,586","156,736","13,636","18,114"
"        55 to 59 years","116,439","17,101","145,981","73,960","595,877","135,127","98,491","22,668","5,979","466,760","202,064","12,976","45,950","291,702","185,312","93,159","75,696","130,617","94,838","48,081","117,778","189,981","280,649","166,989","59,624","169,350","31,672","52,086","60,910","50,668","203,013","37,296","408,864","233,799","21,892","327,954","87,683","103,412","366,584","30,650","114,417","24,982","175,279","485,623","62,883","22,068","193,232","180,369","56,630","183,671","16,210","19,252"
"        60 and 61 years","46,300","7,197","62,222","29,540","244,669","55,790","40,042","9,409","2,096","193,247","77,803","5,529","19,412","118,762","74,286","38,966","31,156","51,832","39,286","19,939","46,917","75,959","114,588","68,390","23,937","68,318","13,986","22,060","24,652","20,795","82,360","16,043","167,247","92,515","9,316","134,563","36,470","43,254","152,463","12,660","46,222","10,547","69,345","197,396","25,614","9,202","75,176","73,632","23,619","75,591","7,402","8,014"
"        62 to 64 years","66,948","10,006","92,199","41,950","348,622","80,847","56,612","14,294","2,886","282,977","109,323","8,213","28,749","168,637","107,415","56,566","45,517","73,901","55,681","29,205","65,877","106,911","166,684","96,071","34,645","97,580","20,949","31,381","36,320","29,475","114,812","24,035","234,761","132,829","13,352","196,447","52,147","65,997","223,017","18,351","67,761","15,617","99,077","277,488","37,435","13,653","106,600","108,205","35,215","107,415","11,160","11,984"
"        65 and 66 years","42,084","6,467","61,972","26,996","221,759","51,114","34,755","9,346","1,807","187,864","68,778","5,931","18,960","103,911","67,230","36,139","28,987","46,995","35,476","19,011","40,594","66,316","103,181","59,501","22,150","60,726","13,901","19,595","23,890","17,899","70,087","16,186","147,295","85,436","8,355","121,606","33,837","45,073","139,577","11,392","44,532","10,207","63,729","174,170","23,752","8,754","66,159","69,752","22,901","67,468","7,078","7,799"
"        67 to 69 years","56,992","8,272","89,033","37,238","297,434","69,908","44,766","13,176","2,568","270,287","92,008","8,515","26,431","138,692","88,852","49,323","39,125","62,843","47,081","25,615","54,188","89,012","138,735","79,828","29,628","81,053","19,771","26,649","32,742","23,584","91,531","22,943","197,048","117,604","11,321","163,390","44,795","64,282","187,767","14,798","63,476","13,930","86,115","232,343","31,373","11,856","88,985","95,150","31,687","91,029","9,657","10,806"
"        70 to 74 years","85,197","10,500","144,300","55,803","438,434","96,261","62,924","19,810","3,846","442,437","140,315","12,967","37,847","189,168","121,857","65,132","53,024","88,931","66,149","37,146","77,430","126,120","187,846","106,168","45,258","114,329","26,932","35,903","51,355","32,906","129,537","34,788","279,913","177,173","14,053","224,848","64,209","92,001","259,342","21,158","99,502","18,259","127,768","333,073","43,287","16,466","132,017","134,860","45,780","121,538","12,596","18,079"
